InhTableExport[][0],InhTableExport[][1],InhTableExport[][2]
8.95572,1.2757,152
0,1.26075,152
0,1.19377,152
11.4641,1.2757,152
13.668,0.738006,152
35.6104,0.738318,152
22.1494,1.19564,152
38.9271,0.865732,152
57.2548,1.22804,152
54.4754,0.55296,152
68.3165,1.2757,152
71.4471,1.14268,152
86.7839,0.952336,152
89.1403,0.659813,152
92.4458,0.827726,152
90.7154,0.38567,152
97.2387,0.719938,152
115.171,1.00841,152
126.831,1.23084,152
126.831,1.23084,152
139.84,0.45296,152
142.034,0.366044,152
149.503,0.203115,152
91.2415,1,152
79.6275,1.2757,152
